history_years,recency_half_life_days,elo_goal_adjustment_scale,champion_log_loss,round_of_16_brier_score,stage_brier_score,stage_score_mae,calibration_error,objective_score
4,500.0,650.0,2.231278310314146,0.1947943125,0.10123430416666666,0.7931875,0.026816666666666666,0.1458598703729496
6,365.0,650.0,2.243874278432443,0.19348920833333336,0.1010468875,0.7916250000000001,0.028845833333333338,0.14592437306864886
5,365.0,650.0,2.2539374925106324,0.19329556250000002,0.1009702125,0.7903541666666666,0.02965,0.14604896235021264
5,500.0,650.0,2.2339871220010132,0.19534818750000002,0.10144972916666667,0.7944999999999999,0.02744583333333334,0.14612947160668693
5,365.0,750.0,2.2691558359883444,0.19200208333333335,0.10081321666666666,0.7929375,0.028891666666666666,0.14619633338643356
6,500.0,650.0,2.22966952655679,0.19529502083333336,0.10165159166666667,0.7964166666666667,0.031670833333333336,0.14624498219780246
5,500.0,550.0,2.24072135777352,0.19636420833333335,0.10171847083333334,0.7911250000000001,0.021066666666666668,0.14653289798880373
6,500.0,750.0,2.2520141417943003,0.19440514583333335,0.10154095416666666,0.7980416666666666,0.027825000000000003,0.14658123700255266
4,365.0,650.0,2.2872830899975227,0.1928249375,0.1010052125,0.7908333333333334,0.0260375,0.14675087429995046
5,500.0,750.0,2.260668024558859,0.19444708333333335,0.10153826249999999,0.7969166666666666,0.02865,0.14675162299117717
6,365.0,750.0,2.291107000854272,0.192109,0.10100516666666666,0.7940208333333333,0.03055416666666666,0.1468273066837521
6,500.0,550.0,2.2504876314143396,0.1966685,0.10194044166666666,0.7937083333333333,0.022325,0.14695019429495346
4,365.0,750.0,2.313805160158257,0.19152260416666667,0.10074832083333334,0.7911875,0.03049583333333333,0.14702442403649849
4,500.0,550.0,2.269936192618894,0.1961556666666667,0.10163850833333334,0.7903125000000001,0.02329166666666667,0.14703723218571121
4,500.0,750.0,2.2896775889444823,0.19387833333333335,0.101490725,0.7957916666666667,0.03021666666666667,0.14728427677888967
6,365.0,550.0,2.2843971129972567,0.19461845833333333,0.10161980416666666,0.7915833333333334,0.026675000000000004,0.1473077464266118
5,365.0,550.0,2.3028165066372046,0.19466429166666666,0.10160002916666666,0.7909791666666667,0.025820833333333338,0.14765635929941076
4,365.0,550.0,2.3187452303765603,0.1944201875,0.10150189999999999,0.7903541666666666,0.02306666666666667,0.1478768046075312
5,240.0,750.0,2.3615659097152117,0.19097539583333334,0.10073632916666668,0.7915625000000001,0.03239166666666666,0.1479676473609709
6,240.0,750.0,2.3625684167365306,0.1909495,0.10073200416666667,0.7917083333333332,0.0323875,0.1479833725013973
4,240.0,750.0,2.3776603321668905,0.19071664583333334,0.10068907083333334,0.791,0.02924166666666667,0.14824227747667115
5,240.0,650.0,2.367437124481478,0.1918087083333333,0.10101596666666667,0.7911041666666666,0.034945833333333336,0.14836470915629624
6,240.0,650.0,2.381895882589929,0.1918601666666667,0.10103137083333334,0.7913125000000001,0.03411666666666666,0.14866928848513192
4,240.0,650.0,2.385072379315851,0.19167631249999997,0.1010297375,0.7913541666666667,0.03497083333333333,0.148731185086317
5,240.0,550.0,2.372492269988235,0.19310810416666668,0.10169617083333334,0.7920208333333333,0.03364999999999999,0.14914601623309803
6,240.0,550.0,2.373443292982371,0.19312197916666665,0.10172014166666667,0.7922291666666667,0.033683333333333336,0.1491890075263141
4,240.0,550.0,2.377072960502424,0.19293339583333333,0.10168983333333333,0.7920833333333333,0.03617916666666667,0.1492312925433818
